"date","close","volume","open","high","low"
"2016/07/07","40.0900","4606347.0000","39.3200","40.4100","39.3142"
"2016/07/06","39.3100","8217748.0000","39.1400","39.4100","37.6400"
"2016/07/05","40.2900","5207822.0000","40.8000","40.9200","39.4100"
"2016/07/01","41.3700","5091802.0000","41.0200","41.8000","40.8300"
"2016/06/30","41.0400","6052479.0000","40.7200","41.0400","40.2000"
"2016/06/29","40.5700","7373095.0000","39.1900","40.9200","39.1500"
"2016/06/28","38.9500","7820271.0000","38.8200","39.0600","38.0100"
"2016/06/27","37.7500","12912370.0000","40.6400","40.6900","37.4100"
"2016/06/24","41.0600","12309170.0000","42.6700","43.2201","41.0400"
"2016/06/23","45.1700","4909254.0000","45.7500","45.9150","44.4600"
"2016/06/22","45.0900","4815290.0000","45.0000","45.6400","44.9400"
"2016/06/21","44.8600","7747960.0000","45.0100","45.5900","44.4000"
"2016/06/20","43.4000","4427783.0000","43.0700","44.0300","43.0000"
"2016/06/17","42.6200","8183091.0000","41.9000","43.0700","41.5000"
"2016/06/16","41.8300","7695430.0000","42.2300","42.9000","41.6800"
"2016/06/15","42.8900","6334525.0000","42.5500","43.7200","42.5100"
"2016/06/14","42.0900","8161487.0000","43.9800","44.3000","41.4600"
"2016/06/13","44.0600","7127801.0000","45.5900","45.8800","43.6400"
"2016/06/10","46.0800","4206276.0000","46.0900","46.6850","45.6300"
"2016/06/09","46.7000","4648846.0000","45.5900","46.9100","45.4400"
"2016/06/08","45.6900","4874626.0000","45.9400","46.5300","45.2900"
"2016/06/07","45.8100","5862489.0000","44.5000","46.4600","44.0100"
"2016/06/06","44.5300","5251171.0000","44.2000","44.5400","43.5300"
"2016/06/03","44.3000","5640219.0000","45.0100","45.1600","43.6000"
"2016/06/02","45.1700","3355673.0000","44.9200","45.5900","44.8600"
"2016/06/01","45.2500","3982287.0000","45.2500","45.4600","44.7000"
"2016/05/31","45.0900","6080420.0000","45.1300","45.3000","44.3000"
"2016/05/27","45.1800","3618347.0000","44.5600","45.4600","44.5275"
"2016/05/26","44.5000","4891029.0000","45.2000","45.3250","44.1400"
"2016/05/25","45.1300","3650347.0000","45.1200","45.9400","45.0700"
"2016/05/24","44.9900","3703283.0000","44.4600","45.0800","44.3900"
"2016/05/23","44.2000","3744945.0000","44.5400","45.0000","44.1500"
"2016/05/20","44.4900","3281677.0000","44.3900","45.2900","44.2200"
"2016/05/19","44.0100","5576295.0000","44.7300","45.2900","43.6500"
"2016/05/18","45.2700","4480387.0000","44.9100","46.2800","44.8300"
"2016/05/17","45.0500","5917884.0000","44.3500","46.0750","44.3200"
"2016/05/16","44.5900","6078626.0000","44.3200","44.8700","43.5100"
"2016/05/13","43.8400","5765632.0000","43.7000","44.9400","43.6200"
"2016/05/12","43.7800","7911585.0000","46.0300","46.0300","43.3300"
"2016/05/11","45.8000","5069311.0000","46.7300","47.4000","45.7900"
"2016/05/10","47.0000","4796766.0000","46.0700","47.1150","45.7900"
"2016/05/09","45.7100","4615237.0000","45.8800","46.8100","45.6800"
"2016/05/06","45.7000","9246939.0000","44.8000","45.7300","44.0100"
"2016/05/05","44.9900","6036603.0000","45.6000","46.0700","44.9600"
"2016/05/04","45.5500","7183911.0000","46.7100","46.7600","45.1500"
"2016/05/03","47.1300","6726552.0000","47.0000","47.5400","46.1500"
"2016/05/02","46.6600","6624738.0000","46.6100","46.8100","45.8100"
"2016/04/29","45.8100","10239550.0000","47.8900","47.9300","45.5800"
"2016/04/28","48.0600","5661212.0000","48.8400","49.2100","47.9000"
"2016/04/27","48.9400","5208205.0000","49.0500","49.7020","48.7000"
"2016/04/26","49.1400","7545517.0000","49.7500","50.0600","48.0500"
"2016/04/25","49.3700","6852518.0000","51.0600","51.4500","49.3000"
"2016/04/22","50.7400","11325130.0000","51.2000","51.5900","50.2000"
"2016/04/21","52.7600","25279490.0000","55.3200","55.9999","51.3300"
"2016/04/20","58.6000","4103105.0000","57.9600","58.9000","57.9600"
"2016/04/19","58.0500","3551705.0000","57.1200","58.3300","57.1200"
"2016/04/18","56.9800","2407080.0000","57.7800","57.7800","56.3500"
"2016/04/15","56.9000","2847903.0000","56.9700","57.1100","56.0800"
"2016/04/14","56.7300","3794845.0000","55.8600","57.8400","55.8000"
"2016/04/13","55.5800","3789980.0000","54.4800","55.6800","54.3400"
"2016/04/12","54.0700","3392510.0000","53.8900","54.7771","53.8250"
"2016/04/11","53.7100","4584753.0000","53.3800","55.2000","53.2800"
"2016/04/08","53.0800","3548375.0000","53.6500","53.8100","52.9500"
"2016/04/07","53.1600","6754309.0000","54.5500","54.6620","52.9300"
"2016/04/06","55.1400","3224221.0000","55.6000","55.6540","54.5900"
"2016/04/05","55.5800","2727418.0000","55.4900","55.8500","55.1000"
"2016/04/04","55.8500","4611728.0000","56.5900","57.6000","55.7000"
"2016/04/01","56.7200","7398838.0000","57.4300","57.6700","56.1900"
"2016/03/31","59.8600","5744859.0000","59.9200","61.3900","59.8200"
"2016/03/30","59.8200","3399208.0000","58.9900","60.3900","58.8900"
"2016/03/29","58.6600","3215792.0000","57.7800","58.7500","57.5850"
"2016/03/28","57.9100","3395109.0000","57.9500","58.1800","57.4100"
"2016/03/24","57.8400","6621763.0000","58.7600","58.9600","57.2000"
"2016/03/23","59.7400","4020235.0000","60.4300","60.6100","59.2900"
"2016/03/22","60.4900","4465891.0000","59.5100","60.9600","59.4100"
"2016/03/21","61.1900","3629177.0000","60.3800","61.4100","60.3500"
"2016/03/18","60.4100","7374775.0000","58.9000","60.6700","58.8600"
"2016/03/17","58.8400","3279028.0000","58.7100","59.1600","58.2100"
"2016/03/16","58.7700","3670598.0000","57.6600","59.0300","57.4200"
"2016/03/15","58.0500","4729367.0000","58.5700","59.3000","57.9400"
"2016/03/14","58.9800","3942126.0000","58.0000","59.0900","57.8400"
"2016/03/11","58.3700","3119662.0000","57.9600","58.4050","57.7200"
"2016/03/10","57.2600","3509513.0000","57.6000","57.8700","56.6500"
"2016/03/09","57.4400","4755173.0000","56.7400","57.5900","56.4700"
"2016/03/08","56.3400","7848123.0000","56.3600","57.4500","55.2900"
"2016/03/07","57.6100","4919380.0000","57.5500","58.0900","56.8400"
"2016/03/04","58.0000","5764177.0000","58.6500","58.9500","57.6600"
"2016/03/03","58.3400","5188449.0000","57.9300","58.8000","57.8000"
"2016/03/02","57.9200","4849137.0000","57.9000","58.4800","57.2700"
"2016/03/01","58.4000","5216225.0000","57.6300","58.8400","57.2600"
"2016/02/29","57.2600","5605108.0000","56.3800","57.7950","56.0100"
"2016/02/26","56.5800","4498821.0000","56.8900","57.1700","56.1200"
"2016/02/25","56.8600","4655444.0000","56.4400","56.9100","55.7300"
"2016/02/24","56.2600","5594694.0000","54.8200","56.3000","54.6700"
"2016/02/23","55.4500","4317050.0000","55.0900","55.8900","54.6200"
"2016/02/22","55.4900","6657085.0000","54.1300","55.8400","53.9600"
"2016/02/19","53.8200","9733335.0000","51.7900","55.0600","51.1306"
"2016/02/18","51.9400","5571146.0000","51.0700","52.1950","50.7201"
"2016/02/17","50.6100","4214200.0000","49.4200","50.9300","49.2900"
"2016/02/16","48.8700","4593526.0000","48.7200","49.2450","47.8000"
"2016/02/12","48.3500","4097625.0000","47.2900","48.4250","46.5800"
"2016/02/11","46.9800","4926370.0000","46.5400","47.8500","46.4800"
"2016/02/10","47.7100","7833490.0000","47.4100","48.8000","47.0700"
"2016/02/09","46.4800","9299971.0000","44.9700","47.0320","44.0000"
"2016/02/08","45.6800","7691733.0000","45.9000","46.4200","45.1600"
"2016/02/05","46.8600","5164832.0000","48.4100","49.1598","46.4800"
"2016/02/04","48.4100","5709364.0000","47.1800","48.6200","47.0700"
"2016/02/03","47.5700","6489968.0000","46.6300","48.3000","45.0500"
"2016/02/02","46.4500","7114379.0000","48.2700","48.4800","46.0500"
"2016/02/01","48.8600","6719305.0000","47.7100","49.2000","47.5200"
"2016/01/29","48.2800","9056660.0000","45.3100","48.5400","45.2700"
"2016/01/28","46.1100","7770026.0000","47.9700","48.1400","45.7700"
"2016/01/27","47.7100","8125939.0000","47.7000","49.4100","47.3700"
"2016/01/26","47.2300","5600540.0000","46.8300","47.2700","46.3100"
"2016/01/25","46.4400","5578372.0000","46.9100","47.2600","46.3400"
"2016/01/22","46.7200","8287083.0000","45.9300","47.7300","45.9300"
"2016/01/21","45.3300","10285160.0000","45.1100","46.6600","44.2500"
"2016/01/20","45.1200","11768780.0000","44.7700","46.2000","42.1700"
"2016/01/19","45.1800","8455516.0000","46.5100","46.9700","44.6400"
"2016/01/15","45.6700","10923040.0000","46.4200","46.8900","44.9300"
"2016/01/14","47.8300","9801615.0000","48.3400","48.5900","45.8900"
"2016/01/13","48.0600","8040352.0000","51.1600","51.2800","47.7600"
"2016/01/12","50.8600","10054820.0000","51.6600","51.7000","49.7100"
"2016/01/11","51.6200","8443744.0000","52.2000","52.5500","50.3500"
"2016/01/08","51.8900","6361099.0000","53.6200","53.8600","51.7600"
"2016/01/07","52.6300","6094584.0000","54.4000","54.8100","52.3400"
"2016/01/06","55.2000","4902083.0000","54.2400","55.4700","54.0400"
"2016/01/05","55.0600","6845815.0000","55.9000","56.3300","54.0000"
"2016/01/04","55.6100","5693154.0000","55.7900","56.3400","54.8600"
"2015/12/31","57.3000","3515741.0000","57.2300","57.5000","56.7200"
"2015/12/30","57.5100","3181955.0000","59.2800","59.3000","57.4500"
"2015/12/29","59.3000","2317853.0000","59.1700","59.7400","58.7400"
"2015/12/28","59.0100","2521366.0000","59.7900","60.2000","58.6700"
"2015/12/24","59.7800","3015034.0000","58.3500","60.4400","58.3500"
"2015/12/23","58.3500","3381814.0000","58.0200","58.5700","57.1100"
"2015/12/22","58.0000","3921159.0000","58.2800","58.3600","56.6500"
"2015/12/21","58.0500","3303500.0000","57.4200","58.3200","57.2700"
"2015/12/18","56.9200","4981486.0000","57.3200","58.2200","56.7200"
"2015/12/17","57.3200","3997215.0000","58.8600","59.6500","57.3000"
"2015/12/16","58.8700","4184076.0000","58.2600","59.1500","57.0600"
"2015/12/15","57.9000","3675557.0000","57.8300","58.4800","57.5100"
"2015/12/14","57.3000","5686717.0000","57.3700","57.7400","55.3342"
"2015/12/11","57.0300","5041568.0000","58.1800","58.7600","56.9100"
"2015/12/10","59.5300","5095629.0000","58.1000","60.1800","57.6100"
"2015/12/09","57.8600","5138868.0000","58.7000","59.8800","57.1500"
"2015/12/08","58.6500","4667668.0000","59.6700","60.5100","58.0500"
"2015/12/07","60.5200","6910907.0000","59.9550","61.4900","59.7450"
"2015/12/04","58.9400","5126061.0000","57.5600","59.0900","57.5200"
"2015/12/03","56.7400","4111102.0000","57.9100","58.2300","56.5600"
"2015/12/02","57.9100","5345002.0000","58.0000","59.3400","57.6150"
"2015/12/01","56.9900","3964918.0000","55.6800","57.1100","55.5300"
"2015/11/30","55.7300","4982084.0000","56.8200","57.2000","55.5800"
"2015/11/27","56.8200","1638547.0000","56.4000","57.4600","56.2600"
