data,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2016/03/01,42.5,41.95,42.17,42.59,0.47042827038579965,0.4387971291575547,0.43651471860429353,0.41726512677883187
2016/03/02,41.94,42.5,41.95,42.17,0.48072013246807915,0.47042827038579965,0.4387971291575547,0.43651471860429353
2016/03/03,42.03,41.94,42.5,41.95,0.4651590849184763,0.48072013246807915,0.47042827038579965,0.4387971291575547
2016/03/04,41.5,42.03,41.94,42.5,0.47254505673892394,0.4651590849184763,0.48072013246807915,0.47042827038579965
2016/03/07,41.48,41.5,42.03,41.94,0.43233455779601021,0.47254505673892394,0.4651590849184763,0.48072013246807915
2016/03/08,41.59,41.48,41.5,42.03,0.45085057465334244,0.43233455779601021,0.47254505673892394,0.4651590849184763
2016/03/09,42.32,41.59,41.48,41.5,0.4149492863578812,0.45085057465334244,0.43233455779601021,0.47254505673892394
2016/03/10,42.26,42.32,41.59,41.48,0.44869140468972396,0.4149492863578812,0.45085057465334244,0.43233455779601021
2016/03/11,43.33,42.26,42.32,41.59,0.42577218319064375,0.44869140468972396,0.4149492863578812,0.45085057465334244
2016/03/14,43.82,43.33,42.26,42.32,0.44281642179225011,0.42577218319064375,0.44869140468972396,0.4149492863578812
2016/03/15,43.62,43.82,43.33,42.26,0.49398851483907719,0.44281642179225011,0.42577218319064375,0.44869140468972396
2016/03/16,44.15,43.62,43.82,43.33,0.44386533600740019,0.49398851483907719,0.44281642179225011,0.42577218319064375
2016/03/17,43.6,44.15,43.62,43.82,0.49505609510104825,0.44386533600740019,0.49398851483907719,0.44281642179225011
2016/03/18,44.5,43.6,44.15,43.62,0.44570645825730276,0.49505609510104825,0.44386533600740019,0.49398851483907719
2016/03/21,44.99,44.5,43.6,44.15,0.38985663199415904,0.44570645825730276,0.49505609510104825,0.44386533600740019
2016/03/22,44.61,44.99,44.5,43.6,0.46606667648540406,0.38985663199415904,0.44570645825730276,0.49505609510104825
2016/03/23,44.43,44.61,44.99,44.5,0.38064527572376367,0.46606667648540406,0.38985663199415904,0.44570645825730276
2016/03/24,44.06,44.43,44.61,44.99,0.34978512484675101,0.38064527572376367,0.46606667648540406,0.38985663199415904
2016/03/28,43.81,44.06,44.43,44.61,0.44507059924041037,0.34978512484675101,0.38064527572376367,0.46606667648540406
2016/03/29,44.64,43.81,44.06,44.43,0.42056805278787024,0.44507059924041037,0.34978512484675101,0.38064527572376367
2016/03/30,44.98,44.64,43.81,44.06,0.43489172877980481,0.42056805278787024,0.44507059924041037,0.34978512484675101
2016/03/31,44.8,44.98,44.64,43.81,0.46020232286215862,0.43489172877980481,0.42056805278787024,0.44507059924041037
2016/04/01,44.56,44.8,44.98,44.64,0.47689859155159015,0.46020232286215862,0.43489172877980481,0.42056805278787024
2016/04/04,44.11,44.56,44.8,44.98,0.42885528845731663,0.47689859155159015,0.46020232286215862,0.43489172877980481
2016/04/05,43.63,44.11,44.56,44.8,0.46567051511690233,0.42885528845731663,0.47689859155159015,0.46020232286215862
2016/04/06,43.67,43.63,44.11,44.56,0.44146106061976848,0.46567051511690233,0.42885528845731663,0.47689859155159015
2016/04/07,43.65,43.67,43.63,44.11,0.4653766533775941,0.44146106061976848,0.46567051511690233,0.42885528845731663
2016/04/08,44.5,43.65,43.67,43.63,0.41291041193370315,0.4653766533775941,0.44146106061976848,0.46567051511690233
2016/04/11,44.37,44.5,43.65,43.67,0.44511901353053451,0.41291041193370315,0.4653766533775941,0.44146106061976848
2016/04/12,44.65,44.37,44.5,43.65,0.453602275473658,0.44511901353053451,0.41291041193370315,0.4653766533775941
2016/04/13,45.84,44.65,44.37,44.5,0.47561729253889007,0.453602275473658,0.44511901353053451,0.41291041193370315
2016/04/14,46.71,45.84,44.65,44.37,0.48486628316489183,0.47561729253889007,0.453602275473658,0.44511901353053451
2016/04/15,47.04,46.71,45.84,44.65,0.42598230036426593,0.48486628316489183,0.47561729253889007,0.453602275473658
2016/04/18,47.1,47.04,46.71,45.84,0.35362295020830592,0.42598230036426593,0.48486628316489183,0.47561729253889007
2016/04/19,47.13,47.1,47.04,46.71,0.42580732342331368,0.35362295020830592,0.42598230036426593,0.48486628316489183
2016/04/20,47.05,47.13,47.1,47.04,0.41057382229651662,0.42580732342331368,0.35362295020830592,0.42598230036426593
2016/04/21,47.73,47.05,47.13,47.1,0.44147255446875988,0.41057382229651662,0.42580732342331368,0.35362295020830592
2016/04/22,47.25,47.73,47.05,47.13,0.43154819223172936,0.44147255446875988,0.41057382229651662,0.42580732342331368
2016/04/25,46.85,47.25,47.73,47.05,0.41036285823300028,0.43154819223172936,0.44147255446875988,0.41057382229651662
2016/04/26,46.18,46.85,47.25,47.73,0.47776552818530316,0.41036285823300028,0.43154819223172936,0.44147255446875988
2016/04/27,45.57,46.18,46.85,47.25,0.43712080627681177,0.47776552818530316,0.41036285823300028,0.43154819223172936
2016/04/28,44.06,45.57,46.18,46.85,0.44429093249672719,0.43712080627681177,0.47776552818530316,0.41036285823300028
2016/04/29,44.61,44.06,45.57,46.18,0.4137540403690913,0.44429093249672719,0.43712080627681177,0.47776552818530316
2016/05/02,44.01,44.61,44.06,45.57,0.42408731757344015,0.4137540403690913,0.44429093249672719,0.43712080627681177
2016/05/03,43.14,44.01,44.61,44.06,0.41447023528975807,0.42408731757344015,0.4137540403690913,0.44429093249672719
2016/05/04,41.66,43.14,44.01,44.61,0.38031585670848955,0.41447023528975807,0.42408731757344015,0.4137540403690913
2016/05/05,41.53,41.66,43.14,44.01,0.45306018544160015,0.38031585670848955,0.41447023528975807,0.42408731757344015
2016/05/06,41.73,41.53,41.66,43.14,0.38435319820580355,0.45306018544160015,0.38031585670848955,0.41447023528975807
2016/05/09,42.19,41.73,41.53,41.66,0.4333349476440832,0.38435319820580355,0.45306018544160015,0.38031585670848955
2016/05/10,42.85,42.19,41.73,41.53,0.4337228007857743,0.4333349476440832,0.38435319820580355,0.45306018544160015
2016/05/11,42.11,42.85,42.19,41.73,0.41123905130394428,0.4337228007857743,0.4333349476440832,0.38435319820580355
2016/05/12,41.22,42.11,42.85,42.19,0.43338016121148615,0.41123905130394428,0.4337228007857743,0.4333349476440832
2016/05/13,41.56,41.22,42.11,42.85,0.47786035156799123,0.43338016121148615,0.41123905130394428,0.4337228007857743
2016/05/16,42.23,41.56,41.22,42.11,0.41731660376058388,0.47786035156799123,0.43338016121148615,0.41123905130394428
2016/05/17,42.2,42.23,41.56,41.22,0.44047897824088167,0.41731660376058388,0.47786035156799123,0.43338016121148615
2016/05/18,42.9,42.2,42.23,41.56,0.43671384118972384,0.44047897824088167,0.41731660376058388,0.47786035156799123
2016/05/19,42.17,42.9,42.2,42.23,0.45352281664183786,0.43671384118972384,0.44047897824088167,0.41731660376058388
2016/05/20,42.19,42.17,42.9,42.2,0.43757113844049683,0.45352281664183786,0.43671384118972384,0.44047897824088167
2016/05/23,42.21,42.19,42.17,42.9,0.45278688148081314,0.43757113844049683,0.45352281664183786,0.43671384118972384
2016/05/24,42.8,42.21,42.19,42.17,0.46029666904686861,0.45278688148081314,0.43757113844049683,0.45352281664183786
2016/05/25,42.53,42.8,42.21,42.19,0.40540534836231723,0.46029666904686861,0.45278688148081314,0.43757113844049683
2016/05/26,41.79,42.53,42.8,42.21,0.39959585241867285,0.40540534836231723,0.46029666904686861,0.45278688148081314
2016/05/27,42.33,41.79,42.53,42.8,0.36998644867220665,0.39959585241867285,0.40540534836231723,0.46029666904686861
2016/05/31,42.48,42.33,41.79,42.53,0.37164777400634663,0.36998644867220665,0.39959585241867285,0.40540534836231723
2016/06/01,42.54,42.48,42.33,41.79,0.39480074223551503,0.37164777400634663,0.36998644867220665,0.39959585241867285
2016/06/02,42.17,42.54,42.48,42.33,0.33324936212937167,0.39480074223551503,0.37164777400634663,0.36998644867220665
2016/06/03,41.69,42.17,42.54,42.48,0.42426159564607346,0.33324936212937167,0.39480074223551503,0.37164777400634663
2016/06/06,41.77,41.69,42.17,42.54,0.43778790777738996,0.42426159564607346,0.33324936212937167,0.39480074223551503
2016/06/07,43.07,41.77,41.69,42.17,0.4066600503065399,0.43778790777738996,0.42426159564607346,0.33324936212937167
2016/06/08,43.5,43.07,41.77,41.69,0.43130843772120459,0.4066600503065399,0.43778790777738996,0.42426159564607346
2016/06/09,44.19,43.5,43.07,41.77,0.42147951312713422,0.43130843772120459,0.4066600503065399,0.43778790777738996
2016/06/10,43.63,44.19,43.5,43.07,0.40284787423905977,0.42147951312713422,0.43130843772120459,0.4066600503065399
2016/06/13,42.16,43.63,44.19,43.5,0.3532034088367732,0.40284787423905977,0.42147951312713422,0.43130843772120459
2016/06/14,39.88,42.16,43.63,44.19,0.38982654530368793,0.3532034088367732,0.40284787423905977,0.42147951312713422
2016/06/15,39.94,39.88,42.16,43.63,0.44140309161173197,0.38982654530368793,0.3532034088367732,0.40284787423905977
2016/06/16,39.78,39.94,39.88,42.16,0.38834005602117583,0.44140309161173197,0.38982654530368793,0.3532034088367732
